iter	Passed	Remaining
659	312334	160899
660	312782	160413
661	313294	159960
662	313795	159501
663	314242	159014
664	314745	158556
665	315251	158099
666	315751	157638
667	316211	157159
668	316736	156711
669	317254	156259
670	317745	155794
671	318270	155346
672	318729	154865
673	319251	154415
674	319761	153959
675	320237	153486
676	320721	153017
677	321211	152551
678	321721	152094
679	322197	151622
680	322698	151161
681	323196	150698
682	323631	150206
683	324088	149725
684	324568	149253
685	325002	148762
686	325494	148296
687	326009	147841
688	326521	147384
689	327001	146913
690	327467	146436
691	327904	145946
692	328325	145448
693	328790	144970
694	329289	144508
695	329793	144047
696	330246	143564
697	330702	143083
698	331198	142619
699	331658	142139
700	332139	141668
701	332624	141199
702	333154	140749
703	333667	140291
704	334109	139804
705	334608	139341
706	335057	138856
707	335560	138394
708	336044	137925
709	336530	137456
710	337010	136984
711	337498	136516
712	337971	136041
713	338392	135546
714	338890	135082
715	339398	134621
716	339924	134168
717	340465	133720
718	340930	133242
719	341438	132781
720	341932	132315
721	342411	131842
722	342899	131373
723	343438	130924
724	343903	130446
725	344419	129987
726	344913	129520
727	345366	129038
728	345824	128557
729	346260	128069
730	346769	127607
731	347262	127139
732	347729	126662
733	348157	126171
734	348610	125689
735	349095	125219
736	349592	124752
737	350056	124274
738	350581	123818
739	351013	123328
740	351478	122851
741	351928	122368
742	352428	121903
743	352927	121437
744	353460	120983
745	353950	120513
746	354436	120043
747	354920	119571
748	355382	119093
749	355879	118626
750	356359	118153
751	356864	117689
752	357359	117221
753	357848	116751
754	358304	116271
755	358784	115798
756	359300	115337
757	359856	114888
758	360325	114411
759	360814	113941
760	361254	113455
761	361761	112991
762	362235	112516
763	362724	112045
764	363184	111566
765	363668	111094
766	364160	110624
767	364631	110149
768	365168	109693
769	365658	109222
770	366105	108739
771	366546	108254
772	367039	107785
773	367503	107307
774	367991	106836
775	368462	106360
776	368966	105893
777	369447	105420
778	369876	104932
779	370353	104458
780	370825	103983
781	371309	103510
782	371791	103037
783	372232	102553
784	372753	102091
785	373262	101626
786	373759	101157
787	374215	100677
788	374705	100206
789	375184	99732
790	375695	99267
791	376178	98794
792	376667	98323
793	377168	97854
794	377655	97382
795	378141	96910
796	378586	96427
797	379048	95949
798	379521	95474
799	380002	95000
800	380480	94526
801	380998	94062
802	381443	93579
803	381962	93115
804	382453	92644
805	382923	92167
806	383369	91685
807	383835	91208
808	384312	90733
809	384775	90255
810	385254	89781
811	385740	89309
812	386219	88835
813	386705	88362
814	387224	87897
815	387689	87420
816	388180	86948
817	388661	86474
818	389114	85994
819	389645	85532
820	390117	85055
821	390597	84581
822	391070	84106
823	391551	83632
824	392044	83161
825	392565	82695
826	393078	82228
827	393587	81759
828	394046	81281
829	394554	80812
830	395065	80344
831	395549	79870
832	395992	79388
833	396415	78902
834	396879	78425
835	397368	77952
836	397865	77481
837	398271	76992
838	398760	76520
839	399247	76047
840	399762	75579
841	400208	75098
842	400715	74629
843	401160	74148
844	401609	73667
845	402077	73191
846	402544	72714
847	403002	72236
848	403451	71756
849	403917	71279
850	404393	70804
851	404869	70329
852	405382	69860
853	405878	69389
854	406379	68918
855	406863	68444
856	407348	67970
857	407876	67504
858	408374	67032
859	408875	66561
860	409353	66086
861	409804	65606
862	410255	65127
863	410778	64659
864	411270	64186
865	411766	63714
866	412222	63235
867	412695	62760
868	413135	62279
869	413529	61791
870	413966	61310
871	414424	60832
872	414882	60355
873	415399	59885
874	415836	59405
875	416284	58926
876	416762	58451
877	417256	57978
878	417762	57507
879	418238	57032
880	418731	56559
881	419235	56088
882	419735	55616
883	420191	55138
884	420631	54658
885	421111	54183
886	421572	53706
887	422019	53227
888	422444	52746
889	422888	52267
890	423394	51795
891	423881	51321
892	424346	50845
893	424816	50369
894	425354	49901
895	425839	49427
896	426348	48956
897	426843	48483
898	427363	48013
899	427867	47540
900	428349	47066
901	428834	46591
902	429349	46120
903	429787	45641
904	430259	45165
905	430748	44691
906	431244	44218
907	431737	43744
908	432221	43269
909	432729	42797
910	433224	42323
911	433716	41849
912	434235	41378
913	434761	40907
914	435278	40435
915	435761	39960
916	436225	39483
917	436707	39008
918	437208	38535
919	437710	38061
920	438180	37585
921	438630	37107
922	439071	36628
923	439586	36156
924	440061	35680
925	440553	35206
926	441042	34731
927	441484	34253
928	441991	33779
929	442430	33301
930	442947	32828
931	443425	32352
932	443934	31879
933	444393	31402
934	444863	30926
935	445338	30450
936	445789	29973
937	446243	29495
938	446647	29015
939	447127	28540
940	447613	28065
941	448071	27588
942	448534	27111
943	448978	26634
944	449450	26158
945	449876	25680
946	450323	25202
947	450785	24726
948	451263	24251
949	451729	23775
950	452160	23297
951	452617	22821
952	453083	22345
953	453549	21869
954	454086	21396
955	454530	20919
956	455001	20444
957	455483	19969
958	455964	19493
959	456405	19016
960	456894	18542
961	457370	18066
962	457902	17593
963	458391	17118
964	458892	16643
965	459336	16167
966	459804	15691
967	460247	15214
968	460728	14739
969	461175	14263
970	461630	13787
971	462102	13311
972	462548	12835
973	462991	12359
974	463412	11882
975	463888	11407
976	464369	10931
977	464859	10456
978	465318	9981
979	465765	9505
980	466165	9028
981	466632	8553
982	467112	8078
983	467603	7603
984	468072	7128
985	468480	6651
986	468962	6176
987	469455	5701
988	469941	5226
989	470417	4751
990	470904	4276
991	471395	3801
992	471856	3326
993	472322	2851
994	472791	2375
995	473260	1900
996	473697	1425
997	474150	950
998	474600	475
999	475074	0
